Company,Location HQ,# Laid Off,Date,%,Industry,Stage,$ Raised (mm),Country,Date Added,Month,Layoff Region
LeddarTech,"Quebec,Non-U.S.",138.0,2025-05-22,95.0,Transportation,Post-IPO,402.0,Canada,5/23/2025,May,Non-US
Climeworks,"Zurich,Non-U.S.",106.0,2025-05-21,22.0,Energy,Private Equity,734.0,Switzerland,5/23/2025,May,Non-US
Builder.ai,"London,Non-U.S.",0.0,2025-05-20,100.0,AI,Series D,445.0,United States,5/23/2025,May,US
Blink Charging,Baltimore,0.0,2025-05-19,20.0,Other,Post-IPO,110.0,United States,5/23/2025,May,US
VerSe Innovation copy,"Bengaluru,Non-U.S.",350.0,2025-05-18,0.0,Media,Series J,1700.0,India,5/23/2025,May,Non-US
GroundGame Health,Tampa Bay,97.0,2025-05-15,0.0,Healthcare,Series A,17.0,United States,5/16/2025,May,US
Noogata,"Tel Aviv,Non-U.S.",10.0,2025-05-15,100.0,AI,Series A,28.0,Israel,5/16/2025,May,Non-US
Amazon,Seattle,100.0,2025-05-14,0.0,Retail,Post-IPO,8100.0,United States,5/16/2025,May,US
Microsoft,Seattle,6000.0,2025-05-13,3.0,Other,Post-IPO,1.0,United States,5/13/2025,May,US
Chegg,SF Bay Area,248.0,2025-05-12,22.0,Education,Post-IPO,227.0,United States,5/13/2025,May,US
Match Group,New York City,325.0,2025-05-08,13.0,Consumer,Post-IPO,0.0,United States,5/9/2025,May,US
CrowdStrike,SF Bay Area,500.0,2025-05-07,5.0,Security,Post-IPO,1200.0,United States,5/7/2025,May,US
OpenText,"Waterloo,Non-U.S.",1600.0,2025-05-06,0.0,Data,Post-IPO,1100.0,Canada,5/16/2025,May,Non-US
GenWise,"New Delhi,Non-U.S.",15.0,2025-05-05,20.0,Other,Seed,3.0,India,5/6/2025,May,Non-US
General Fusion,"Vancouver,Non-U.S.",0.0,2025-05-05,25.0,Energy,Unknown,370.0,Canada,5/6/2025,May,Non-US
Deep Instinct,"Tel Aviv,Non-U.S.",20.0,2025-05-04,10.0,Security,Unknown,322.0,Israel,5/6/2025,May,Non-US
Log 9 Materials,"Bengaluru,Non-U.S.",0.0,2025-05-02,100.0,Manufacturing,Series B,32.0,India,5/3/2025,May,Non-US
Beam,"Bristol,Non-U.S.",200.0,2025-05-01,100.0,Other,Unknown,0.0,United Kingdom,5/3/2025,May,Non-US
Bench,SF Bay Area,0.0,2025-05-01,0.0,Finance,Acquired,109.0,United States,5/3/2025,May,US
NetApp,SF Bay Area,700.0,2025-04-30,6.0,Data,Post-IPO,0.0,United States,5/3/2025,April,US
Electronic Arts,SF Bay Area,300.0,2025-04-29,0.0,Consumer,Post-IPO,2.0,United States,5/3/2025,April,US
Stem,SF Bay Area,0.0,2025-04-29,27.0,Energy,Post-IPO,583.0,United States,5/3/2025,April,US
Expedia,Seattle,0.0,2025-04-28,3.0,Travel,Post-IPO,3300.0,United States,5/3/2025,April,US
Spotter,Los Angeles,0.0,2025-04-28,0.0,Other,Unknown,238.0,United States,5/3/2025,April,US
Tomorrow,Seattle,0.0,2025-04-28,100.0,Hardware,Unknown,0.0,United States,5/3/2025,April,US
Cars24,"Gurugram,Non-U.S.",200.0,2025-04-26,0.0,Transportation,Series G,1300.0,India,4/29/2025,April,Non-US
SambaNova,SF Bay Area,77.0,2025-04-25,15.0,AI,Series D,1100.0,United States,5/3/2025,April,US
Meta,SF Bay Area,100.0,2025-04-24,0.0,Consumer,Post-IPO,26000.0,United States,4/29/2025,April,US
Intel,Sacramento,22000.0,2025-04-23,20.0,Hardware,Post-IPO,12.0,United States,4/23/2025,April,US
